,id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,home_y_card,home_r_card,away_y_card,away_r_card,home_foulcommit,away_foulcommit,home_shoton,away_shoton,home_shotoff,away_shotoff,home_cross,away_cross,home_corner,away_corner,home_possession,away_possession,HTP,ATP,Result
2,1731,2008/2009,1,2008-08-16 00:00:00,489044,8472,8650,0,1,5.5,3.6,1.67,0,0,2,0,13,12,4,11,3,5,15,19,1,8,46,54,0,0,H
6,1735,2008/2009,1,2008-08-16 00:00:00,489048,8549,8586,2,1,3.2,3.4,2.25,1,0,2,0,11,11,7,2,5,5,25,27,7,9,53,47,0,0,H
7,1736,2008/2009,1,2008-08-16 00:00:00,489049,8559,10194,3,1,1.83,3.5,4.5,1,0,2,0,14,15,5,1,7,6,22,29,4,3,47,53,0,0,A
3,1732,2008/2009,1,2008-08-16 00:00:00,489045,8654,8528,2,1,1.91,3.4,4.2,2,0,1,0,14,13,5,7,7,15,15,27,6,10,52,48,0,0,H
8,1737,2008/2009,1,2008-08-16 00:00:00,489050,8667,9879,2,1,2.6,3.2,2.8,3,0,0,0,10,9,5,4,5,6,16,14,5,6,53,47,0,0,H
5,1734,2008/2009,1,2008-08-16 00:00:00,489047,8668,8655,2,3,2.0,3.3,4.0,2,0,2,0,11,11,2,8,7,8,14,21,3,4,51,49,0,0,A
1,1730,2008/2009,1,2008-08-16 00:00:00,489043,9825,8659,1,0,1.2,6.5,15.0,0,0,0,0,11,9,12,2,13,3,21,7,7,5,66,34,0,0,H
9,1738,2008/2009,1,2008-08-17 00:00:00,489051,8455,8462,4,0,1.33,5.0,10.0,0,0,1,0,11,8,6,7,10,5,25,9,8,3,53,47,0,0,H
4,1733,2008/2009,1,2008-08-17 00:00:00,489046,10252,8456,4,2,1.91,3.4,4.33,0,0,1,0,11,13,5,9,4,5,16,16,7,8,52,48,0,0,H
0,1729,2008/2009,1,2008-08-17 00:00:00,489042,10260,10261,1,1,1.29,5.5,11.0,3,0,0,0,16,11,11,1,10,9,24,9,6,6,55,45,0,0,D
111,1840,2008/2009,2,2008-08-23 00:00:00,489053,8586,8472,1,2,1.5,4.0,7.0,1,0,2,0,10,14,6,4,8,4,42,22,12,6,55,45,3,3,D
110,1839,2008/2009,2,2008-08-23 00:00:00,489052,8650,8549,2,1,1.36,4.5,10.0,2,0,1,0,9,12,6,4,13,5,21,13,13,3,57,43,0,3,H
114,1843,2008/2009,2,2008-08-23 00:00:00,489056,8655,8667,1,1,1.57,3.75,7.0,0,0,1,0,11,16,4,3,6,2,20,10,6,3,60,40,3,3,H
116,1845,2008/2009,2,2008-08-23 00:00:00,489058,8659,8668,1,2,2.88,3.25,2.5,3,0,1,0,12,15,7,4,11,4,27,6,11,5,47,53,1,3,H
115,1844,2008/2009,2,2008-08-23 00:00:00,489057,9879,9825,1,0,6.5,3.75,1.57,2,0,0,0,15,6,2,8,3,11,10,24,1,5,47,53,0,3,H
118,1847,2008/2009,2,2008-08-23 00:00:00,489060,10194,10252,3,2,5.0,3.6,1.73,1,0,0,0,15,5,1,0,6,3,20,15,2,8,46,54,0,0,A
112,1841,2008/2009,2,2008-08-23 00:00:00,489054,10261,8559,1,0,1.8,3.5,4.75,1,0,2,0,11,9,6,3,3,8,15,22,4,5,57,43,0,0,A
113,1842,2008/2009,2,2008-08-24 00:00:00,489055,8456,8654,3,0,2.3,3.25,3.2,0,0,3,0,13,14,5,0,6,2,16,7,6,3,58,42,0,3,H
119,1848,2008/2009,2,2008-08-24 00:00:00,489061,8528,8455,0,1,8.5,4.5,1.4,1,0,2,0,14,16,9,4,2,3,20,10,7,7,50,50,0,3,A
117,1846,2008/2009,2,2008-08-25 00:00:00,489059,8462,10260,0,1,4.8,3.4,1.8,2,0,2,0,11,13,4,7,8,5,17,13,4,3,36,64,0,1,A
226,1955,2008/2009,3,2008-08-30 00:00:00,489068,8549,10194,2,1,1.57,3.6,7.0,2,0,4,1,13,17,4,1,10,5,19,11,4,4,45,55,3,4,H
227,1956,2008/2009,3,2008-08-30 00:00:00,489069,8559,8659,0,0,1.83,3.5,4.5,2,0,2,0,21,18,10,7,9,7,26,10,7,5,52,48,3,0,D
223,1952,2008/2009,3,2008-08-30 00:00:00,489065,8654,8655,4,1,2.5,3.25,2.88,1,0,5,0,12,20,4,7,3,5,24,20,10,4,55,45,3,0,A
228,1957,2008/2009,3,2008-08-30 00:00:00,489070,8667,8528,0,5,2.5,3.25,2.88,1,0,0,0,20,13,4,1,7,4,23,12,7,4,48,52,4,0,A
225,1954,2008/2009,3,2008-08-30 00:00:00,489067,8668,8462,0,3,2.1,3.3,3.75,1,0,0,0,4,13,7,2,10,2,24,9,5,3,45,55,3,3,H
221,1950,2008/2009,3,2008-08-30 00:00:00,489063,9825,10261,3,0,1.44,4.0,9.0,2,0,2,0,13,12,12,1,7,3,19,9,11,1,53,47,3,4,H
229,1958,2008/2009,3,2008-08-31 00:00:00,489071,8455,8586,1,1,1.4,4.33,9.0,3,0,0,0,10,14,5,1,10,4,17,18,5,8,50,50,3,6,D
222,1951,2008/2009,3,2008-08-31 00:00:00,489064,8472,8456,0,3,2.2,3.3,3.4,4,0,2,0,20,12,4,6,7,1,15,11,3,3,46,54,6,0,D
224,1953,2008/2009,3,2008-08-31 00:00:00,489066,10252,8650,0,0,3.0,3.25,2.4,0,0,2,0,8,12,2,5,5,7,20,22,5,8,45,55,3,3,A
323,2052,2008/2009,4,2008-09-13 00:00:00,489075,8456,8455,1,3,4.33,3.3,1.91,0,0,1,1,15,12,3,5,10,9,15,18,8,5,48,52,4,3,A
327,2056,2008/2009,4,2008-09-13 00:00:00,489079,8462,8549,2,1,2.0,3.5,3.75,2,0,1,0,8,5,12,1,10,6,30,8,3,2,57,43,6,4,H
329,2058,2008/2009,4,2008-09-13 00:00:00,489081,8528,8472,1,1,2.05,3.3,4.0,2,0,1,0,10,8,9,3,9,3,36,13,8,6,57,43,7,4,H
320,2049,2008/2009,4,2008-09-13 00:00:00,489072,8650,10260,2,1,3.0,3.0,2.6,0,0,4,0,10,16,10,4,6,3,23,14,5,4,49,51,6,7,A
324,2053,2008/2009,4,2008-09-13 00:00:00,489076,8655,9825,0,4,4.5,3.5,1.83,1,0,1,0,10,8,3,5,7,8,18,15,5,5,48,52,4,4,A
326,2055,2008/2009,4,2008-09-13 00:00:00,489078,8659,8654,3,2,2.4,3.25,3.0,1,0,1,0,10,20,5,12,6,6,19,15,8,8,57,43,3,6,H
