Team,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Athletic Club de Bilbao,11,13,8,6,10,12,4,7,5,7
Atlético Madrid,4,4,9,7,5,3,1,3,3,3
CA Osasuna,17,15,12,9,7,16,18,,,19
CD Leganés,,,,,,,,,,17
CD Numancia,,19,,,,,,,,
CD Tenerife,,,19,,,,,,,
Córdoba CF,,,,,,,,20,,
Deportivo Alavés,,,,,,,,,,9
Elche CF,,,,,,,16,13,,
FC Barcelona,3,1,1,1,2,1,2,1,1,2
Getafe CF,14,17,6,16,11,10,13,15,19,
Granada CF,,,,,17,15,15,17,16,20
Hércules Club de Fútbol,,,,19,,,,,,
Levante UD,20,,,14,6,11,10,14,20,
MÃ¡laga CF,,8,17,11,4,6,11,9,8,11
Racing Santander,6,12,16,12,20,,,,,
Rayo Vallecano,,,,,15,8,12,11,18,
RC Celta de Vigo,,,,,,17,9,8,6,13
RC Deportivo de La Coruña,9,7,10,18,,19,,,,
RC Recreativo,,20,,,,,,,,
RCD Espanyol,12,10,11,8,14,13,14,10,14,8
RCD Mallorca,7,9,5,17,8,18,,,,
Real Betis Balompié,13,18,,,13,7,20,,10,15
Real Madrid CF,1,2,2,2,1,2,3,2,2,1
Real Murcia,19,,,,,,,,,
Real Sociedad,,,,15,12,4,7,12,9,6
Real Sporting de Gijón,,14,15,10,19,,,,17,18
Real Valladolid,15,16,18,,,14,19,,,
Real Zaragoza,18,,14,13,16,20,,,,
Recreativo,16,,,,,,,,,
SD Eibar,,,,,,,,18,13,10
Sevilla FC,5,3,4,5,9,9,5,5,7,4
UD AlmerÃ­a,8,11,13,20,,,17,19,,
UD Las Palmas,,,,,,,,,11,14
Valencia CF,10,6,3,3,3,5,8,4,12,12
Villarreal CF,2,5,7,4,18,,6,6,4,5
Xerez Club Deportivo,,,20,,,,,16,15,16
