,id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,home_y_card,home_r_card,away_y_card,away_r_card,home_shoton,away_shoton,home_shotoff,away_shotoff,home_foulcommit,away_foulcommit,home_cross,away_cross,home_corner,away_corner,home_possession,away_possession,HTP,ATP,Result
7,21525,2008/2009,1,2008-08-30 00:00:00,530090,RCD Espanyol,Real Valladolid,1,0,2.0,3.3,3.8,4,0,4,0,3,7,5,4,17,16,9,18,1,9,46,54,0,0,H
0,21518,2008/2009,1,2008-08-30 00:00:00,530023,Valencia CF,RCD Mallorca,3,0,1.7,3.6,5.25,4,0,0,0,5,4,8,10,16,14,15,9,5,6,52,48,0,0,H
8,21526,2008/2009,1,2008-08-31 00:00:00,530091,Athletic Club de Bilbao,UD Almería,1,3,2.0,3.3,3.8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,46,54,0,0,A
9,21527,2008/2009,1,2008-08-31 00:00:00,530092,Atlético Madrid,Málaga CF,4,0,1.44,4.2,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,46,54,0,0,H
1,21519,2008/2009,1,2008-08-31 00:00:00,530084,CA Osasuna,Villarreal CF,1,1,2.8,3.3,2.5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,52,48,0,0,D
3,21521,2008/2009,1,2008-08-31 00:00:00,530086,CD Numancia,FC Barcelona,1,0,7.0,4.0,1.5,0,0,2,0,2,6,3,15,13,9,13,33,2,7,26,74,0,0,H
2,21520,2008/2009,1,2008-08-31 00:00:00,530085,RC Deportivo de La Coruña,Real Madrid CF,2,1,3.5,3.3,2.1,3,0,3,0,2,12,5,5,17,18,18,16,6,5,39,61,0,0,H
4,21522,2008/2009,1,2008-08-31 00:00:00,530087,Racing Santander,Sevilla FC,1,1,2.8,3.3,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,74,0,0,D
6,21524,2008/2009,1,2008-08-31 00:00:00,530089,Real Betis Balompié,RC Recreativo,0,1,2.0,3.25,3.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,26,74,0,0,A
5,21523,2008/2009,1,2008-08-31 00:00:00,530088,Real Sporting de Gijón,Getafe CF,1,2,2.62,3.3,2.62,3,0,1,0,0,0,0,0,0,0,0,0,0,0,26,74,0,0,A
112,21630,2008/2009,2,2008-09-13 00:00:00,530095,FC Barcelona,Racing Santander,1,1,1.29,5.0,12.0,1,0,7,0,13,1,6,0,9,21,18,4,9,1,70,30,0,1,D
116,21634,2008/2009,2,2008-09-13 00:00:00,530099,Real Valladolid,Atlético Madrid,2,1,3.2,3.4,2.2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,65,35,0,3,H
113,21631,2008/2009,2,2008-09-13 00:00:00,530096,Sevilla FC,Real Sporting de Gijón,4,3,,,,3,0,3,0,10,7,9,3,10,13,29,7,9,3,65,35,3,0,D
114,21632,2008/2009,2,2008-09-14 00:00:00,530097,Getafe CF,Real Betis Balompié,0,0,2.1,3.3,3.5,2,0,5,0,0,0,0,0,0,0,0,0,0,0,65,35,0,0,D
117,21635,2008/2009,2,2008-09-14 00:00:00,530100,Málaga CF,Athletic Club de Bilbao,0,0,2.5,3.25,2.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,65,35,3,3,A
115,21633,2008/2009,2,2008-09-14 00:00:00,530098,RC Recreativo,RCD Espanyol,0,1,2.3,3.3,3.1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,65,35,0,1,D
119,21637,2008/2009,2,2008-09-14 00:00:00,530102,RCD Mallorca,CA Osasuna,1,1,2.2,3.2,3.4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,49,51,0,3,H
111,21629,2008/2009,2,2008-09-14 00:00:00,530094,Real Madrid CF,CD Numancia,4,3,1.25,5.5,12.0,0,0,1,0,13,3,4,5,15,15,11,12,6,3,59,41,1,0,H
118,21636,2008/2009,2,2008-09-14 00:00:00,530101,UD Almería,Valencia CF,2,2,2.75,3.3,2.5,2,0,2,0,6,2,7,5,17,21,19,13,2,3,49,51,3,3,D
110,21628,2008/2009,2,2008-09-14 00:00:00,530093,Villarreal CF,RC Deportivo de La Coruña,1,0,2.0,3.25,4.0,3,0,2,0,11,4,8,2,15,14,20,11,10,3,54,46,1,3,H
229,21747,2008/2009,3,2008-09-20 00:00:00,530112,Atlético Madrid,RC Recreativo,4,0,1.5,3.8,7.25,0,0,1,0,5,3,3,5,9,17,10,17,5,9,50,50,3,3,H
225,21743,2008/2009,3,2008-09-20 00:00:00,530108,RCD Espanyol,Getafe CF,1,1,2.1,3.3,3.5,3,0,3,0,3,6,5,4,16,16,12,13,2,4,49,51,6,4,D
228,21746,2008/2009,3,2008-09-21 00:00:00,530111,Athletic Club de Bilbao,Real Valladolid,2,0,2.0,3.3,3.75,3,0,2,0,0,0,0,0,0,0,0,0,0,0,46,54,1,3,H
221,21739,2008/2009,3,2008-09-21 00:00:00,530104,CD Numancia,Villarreal CF,1,2,3.0,3.4,2.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,68,3,4,A
222,21740,2008/2009,3,2008-09-21 00:00:00,530105,RC Deportivo de La Coruña,RCD Mallorca,0,0,1.91,3.3,4.2,4,1,5,0,0,0,0,0,0,0,0,0,0,0,32,68,3,1,D
226,21744,2008/2009,3,2008-09-21 00:00:00,530109,Racing Santander,Real Madrid CF,0,2,3.4,3.4,2.1,0,0,5,0,10,1,4,6,17,14,19,6,10,4,46,54,2,3,A
224,21742,2008/2009,3,2008-09-21 00:00:00,530107,Real Betis Balompié,Sevilla FC,0,0,3.1,3.25,2.3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,60,40,1,4,D
220,21738,2008/2009,3,2008-09-21 00:00:00,530103,Real Sporting de Gijón,FC Barcelona,1,6,7.5,3.8,1.5,2,1,0,0,2,6,2,9,15,8,9,15,3,14,32,68,0,1,A
227,21745,2008/2009,3,2008-09-21 00:00:00,530110,UD Almería,Málaga CF,1,0,1.83,3.5,4.33,1,1,4,1,0,0,0,0,0,0,0,0,0,0,46,54,4,1,H
223,21741,2008/2009,3,2008-09-21 00:00:00,530106,Valencia CF,CA Osasuna,1,0,1.62,3.75,5.5,1,0,3,0,4,1,6,3,20,8,19,12,5,2,60,40,4,2,H
320,21838,2008/2009,4,2008-09-24 00:00:00,530113,CA Osasuna,RC Deportivo de La Coruña,0,0,2.25,3.25,3.2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,50,50,2,4,D
324,21842,2008/2009,4,2008-09-24 00:00:00,530117,FC Barcelona,Real Betis Balompié,3,2,1.2,6.0,15.0,2,0,3,0,9,3,7,5,12,21,12,9,6,5,65,35,4,2,H
326,21844,2008/2009,4,2008-09-24 00:00:00,530119,Getafe CF,Atlético Madrid,1,2,2.9,3.25,2.4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,65,35,5,6,A
323,21841,2008/2009,4,2008-09-24 00:00:00,530116,Real Madrid CF,Real Sporting de Gijón,7,1,1.17,6.5,17.0,0,0,0,0,5,5,3,5,13,17,11,14,3,2,59,41,6,0,H
