FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-13
H,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4
H,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7
NH,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16
NH,0.01,0.010416666666666666,0.0,0.0,1.5,1.5,W,M,M,M,M,W,M,M,M,M,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,8
NH,0.02,0.020833333333333332,0.024096385542168676,0.02531645569620253,0.5,0.5,D,M,M,M,M,D,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3
NH,0.02,0.010416666666666666,0.04819277108433735,0.0379746835443038,0.0,0.0,L,M,M,M,M,L,M,M,M,M,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,-4
H,0.02,0.020833333333333332,0.024096385542168676,0.02531645569620253,0.5,0.5,D,M,M,M,M,D,M,M,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2
NH,0.0,0.0,0.012048192771084338,0.012658227848101266,0.0,0.0,L,M,M,M,M,L,M,M,M,M,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0,-3
NH,0.02,0.0,0.024096385542168676,0.0379746835443038,0.5,0.0,D,M,M,M,M,L,M,M,M,M,0,0,0,0,0,0,0,0,0.0,-1.5,0.5,0.5,1
NH,0.02,0.041666666666666664,0.0,0.02531645569620253,1.5,1.5,W,M,M,M,M,W,M,M,M,M,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,-5
NH,0.03,0.0,0.012048192771084338,0.02531645569620253,1.5,0.0,W,M,M,M,M,L,M,M,M,M,0,0,0,0,0,0,0,0,1.0,-1.0,1.5,1.5,7
H,0.03,0.020833333333333332,0.0,0.02531645569620253,1.5,0.5,W,M,M,M,M,D,M,M,M,M,0,0,0,0,0,0,0,0,1.5,0.0,1.0,1.0,-2
H,0.01,0.0,0.0,0.012658227848101266,1.5,0.0,W,M,M,M,M,L,M,M,M,M,0,0,0,0,0,0,0,0,0.5,-0.5,1.5,1.5,-16
H,0.04,0.010416666666666666,0.03614457831325301,0.012658227848101266,1.0,1.0,L,W,M,M,M,L,W,M,M,M,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,-4
NH,0.06,0.020833333333333332,0.03614457831325301,0.0379746835443038,2.0,0.3333333333333333,W,W,M,M,M,D,L,M,M,M,0,0,0,0,0,0,0,0,1.0,-0.3333333333333333,1.6666666666666667,1.6666666666666667,12
NH,0.02,0.020833333333333332,0.0,0.05063291139240506,2.0,0.3333333333333333,W,W,M,M,M,L,D,M,M,M,0,0,0,0,0,0,0,0,0.6666666666666666,-0.6666666666666666,1.6666666666666667,1.6666666666666667,-3
NH,0.04,0.020833333333333332,0.04819277108433735,0.0379746835443038,1.0,0.3333333333333333,W,L,M,M,M,D,L,M,M,M,0,0,0,0,0,0,0,0,0.0,-0.3333333333333333,0.6666666666666666,0.6666666666666666,9
NH,0.03,0.041666666666666664,0.08433734939759036,0.02531645569620253,0.0,1.3333333333333333,L,L,M,M,M,W,D,M,M,M,0,0,0,0,0,0,0,0,-1.3333333333333333,0.6666666666666666,-1.3333333333333333,-1.3333333333333333,2
NH,0.03,0.0,0.024096385542168676,0.02531645569620253,1.0,0.0,L,W,M,M,M,L,L,M,M,M,0,0,0,0,0,0,0,0,0.3333333333333333,-0.6666666666666666,1.0,1.0,-5
NH,0.05,0.0625,0.024096385542168676,0.0,1.3333333333333333,2.0,W,D,M,M,M,W,W,M,M,M,0,0,0,0,0,0,0,0,1.0,2.0,-0.6666666666666666,-0.6666666666666666,4
NH,0.02,0.020833333333333332,0.024096385542168676,0.06329113924050633,0.6666666666666666,0.3333333333333333,D,D,M,M,M,L,D,M,M,M,0,0,0,0,0,0,0,0,0.0,-1.0,0.3333333333333333,0.3333333333333333,10
NH,0.0,0.020833333333333332,0.03614457831325301,0.06329113924050633,0.3333333333333333,0.3333333333333333,D,L,M,M,M,L,D,M,M,M,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,14
NH,0.02,0.020833333333333332,0.03614457831325301,0.0,1.0,2.0,W,L,M,M,M,W,W,M,M,M,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-1.0,-1.0,2
NH,0.02,0.041666666666666664,0.03614457831325301,0.10126582278481013,0.75,0.25,L,L,W,M,M,D,L,L,M,M,0,0,0,0,0,0,0,0,-0.25,-1.0,0.5,0.5,1
NH,0.04,0.07291666666666667,0.060240963855421686,0.05063291139240506,0.75,1.75,W,L,L,M,M,D,W,W,M,M,0,0,0,0,0,0,0,0,-0.25,0.75,-1.0,-1.0,0
NH,0.05,0.0625,0.08433734939759036,0.05063291139240506,1.0,1.5,W,L,D,M,M,W,L,W,M,M,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,-8
NH,0.02,0.0625,0.0,0.0759493670886076,1.75,0.75,D,W,W,M,M,L,L,W,M,M,0,0,0,0,0,0,0,0,0.5,0.0,1.0,1.0,-11
H,0.08,0.020833333333333332,0.0,0.02531645569620253,2.25,0.75,W,W,W,M,M,D,D,D,M,M,0,0,0,0,0,0,0,0,2.0,0.0,1.5,1.5,-17
NH,0.02,0.020833333333333332,0.04819277108433735,0.0379746835443038,0.5,1.0,D,L,D,M,M,D,W,L,M,M,0,0,0,0,0,0,0,0,-0.5,-0.25,-0.5,-0.5,6
NH,0.03,0.020833333333333332,0.04819277108433735,0.0759493670886076,0.5,0.25,D,D,L,M,M,L,D,L,M,M,0,0,0,0,0,0,0,0,-0.25,-1.0,0.25,0.25,-8
NH,0.03,0.052083333333333336,0.04819277108433735,0.05063291139240506,0.5,1.0,D,D,L,M,M,L,W,D,M,M,0,0,0,0,0,0,0,0,-0.25,0.25,-0.5,-0.5,1
H,0.02,0.052083333333333336,0.060240963855421686,0.06329113924050633,0.5,1.0,D,L,D,M,M,D,W,L,M,M,0,0,0,0,0,0,0,0,-0.75,0.0,-0.5,-0.5,-10
H,0.05,0.020833333333333332,0.03614457831325301,0.0,1.25,1.75,D,W,D,M,M,D,W,W,M,M,0,0,0,0,0,0,0,0,0.5,0.5,-0.5,-0.5,5
H,0.03,0.03125,0.03614457831325301,0.06329113924050633,1.4,0.4,W,D,W,L,M,L,D,D,L,M,0,0,0,0,0,0,0,0,0.0,-0.4,1.0,1.0,-5
NH,0.08,0.10416666666666667,0.060240963855421686,0.0,1.8,2.4,W,W,L,W,M,W,W,W,W,M,0,0,0,0,0,0,0,0,0.6,2.0,-0.6,-0.6,10
H,0.05,0.0625,0.04819277108433735,0.11392405063291139,1.0,0.8,D,L,W,D,M,L,W,L,D,M,0,0,0,0,0,0,0,0,0.2,-0.6,0.2,0.2,2
H,0.03,0.020833333333333332,0.024096385542168676,0.0379746835443038,1.4,1.4,L,D,W,W,M,L,D,W,W,M,0,0,0,0,0,0,0,0,0.2,-0.2,0.0,0.0,5
H,0.05,0.052083333333333336,0.0963855421686747,0.0759493670886076,0.8,0.8,L,D,W,L,M,D,W,L,L,M,0,0,0,0,0,0,0,0,-0.6,-0.2,0.0,0.0,0
H,0.02,0.07291666666666667,0.04819277108433735,0.05063291139240506,0.6,1.6,L,D,D,D,M,W,D,W,D,M,0,0,0,0,0,0,0,0,-0.4,0.6,-1.0,-1.0,6
NH,0.03,0.052083333333333336,0.07228915662650602,0.06329113924050633,0.8,1.0,W,L,D,L,M,W,D,L,D,M,0,0,0,0,0,0,0,0,-0.6,0.0,-0.2,-0.2,9
H,0.08,0.041666666666666664,0.060240963855421686,0.06329113924050633,1.6,0.8,D,D,W,W,M,D,L,L,W,M,0,0,0,0,0,0,0,0,0.6,-0.2,0.8,0.8,3
NH,0.06,0.03125,0.12048192771084337,0.05063291139240506,0.4,0.6,D,D,L,L,M,D,D,D,L,M,0,0,0,0,0,0,0,0,-0.8,-0.2,-0.2,-0.2,8
H,0.09,0.020833333333333332,0.07228915662650602,0.06329113924050633,1.2,0.4,W,L,L,W,M,L,D,L,D,M,0,0,0,0,0,0,0,0,0.6,-0.6,0.8,0.8,3
NH,0.06,0.03125,0.0963855421686747,0.0759493670886076,0.6666666666666666,0.8333333333333334,L,D,L,L,W,D,W,L,D,L,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.5,-0.16666666666666666,-0.16666666666666666,-2
H,0.06,0.0625,0.10843373493975904,0.13924050632911392,0.6666666666666666,0.3333333333333333,L,D,W,L,L,L,D,D,L,L,0,0,0,0,0,0,0,0,-0.5,-0.8333333333333334,0.3333333333333333,0.3333333333333333,4
H,0.07,0.052083333333333336,0.14457831325301204,0.0379746835443038,0.6666666666666666,1.6666666666666667,L,L,W,L,D,W,W,D,W,L,0,0,0,0,0,0,0,0,-0.8333333333333334,0.3333333333333333,-1.0,-1.0,-1
NH,0.11,0.11458333333333333,0.0,0.0759493670886076,2.5,1.5,W,W,W,W,W,W,W,L,L,W,1,1,0,0,0,0,0,0,1.8333333333333333,0.8333333333333334,1.0,1.0,-12
NH,0.02,0.03125,0.08433734939759036,0.05063291139240506,0.3333333333333333,1.0,L,L,D,L,D,W,L,D,D,D,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.16666666666666666,-0.6666666666666666,-0.6666666666666666,-8
NH,0.03,0.11458333333333333,0.08433734939759036,0.08860759493670886,0.3333333333333333,1.8333333333333333,L,L,D,D,L,W,D,D,W,W,0,0,0,0,0,0,0,0,-0.6666666666666666,0.6666666666666666,-1.5,-1.5,-9
NH,0.07,0.08333333333333333,0.060240963855421686,0.06329113924050633,1.3333333333333333,1.3333333333333333,L,W,D,W,D,W,D,L,W,D,0,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.0,0.0,7
NH,0.03,0.08333333333333333,0.07228915662650602,0.11392405063291139,1.1666666666666667,1.1666666666666667,L,L,D,W,W,W,L,D,W,L,0,0,0,0,0,0,0,0,-0.5,-0.16666666666666666,0.0,0.0,-16
NH,0.05,0.0625,0.060240963855421686,0.0379746835443038,1.0,1.6666666666666667,D,W,D,L,D,W,L,D,W,W,0,0,0,0,0,0,0,0,0.0,0.5,-0.6666666666666666,-0.6666666666666666,1
H,0.04,0.08333333333333333,0.04819277108433735,0.0759493670886076,1.0,1.5,W,D,D,D,L,L,W,W,L,W,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,-0.5,-0.5,-5
NH,0.13,0.052083333333333336,0.10843373493975904,0.06329113924050633,1.7142857142857142,1.4285714285714286,D,W,D,D,W,L,W,W,D,W,0,0,0,0,0,0,0,0,0.5714285714285714,0.0,0.2857142857142857,-0.14285714285714285,14
H,0.04,0.0625,0.08433734939759036,0.11392405063291139,1.1428571428571428,0.5714285714285714,D,L,L,D,W,L,L,D,L,L,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.42857142857142855,0.5714285714285714,0.5714285714285714,-13
H,0.09,0.0625,0.060240963855421686,0.16455696202531644,1.8571428571428572,0.2857142857142857,W,W,L,D,W,L,L,D,D,L,0,0,0,0,0,0,0,0,0.5714285714285714,-1.0,1.5714285714285714,1.1428571428571428,-7
NH,0.03,0.09375,0.10843373493975904,0.1518987341772152,0.2857142857142857,1.0,L,L,L,D,L,W,L,L,W,L,0,0,0,0,0,0,0,0,-0.8571428571428571,-0.42857142857142855,-0.7142857142857143,-0.7142857142857143,7
H,0.07,0.07291666666666667,0.0963855421686747,0.06329113924050633,0.8571428571428571,1.2857142857142858,L,D,W,D,L,D,L,W,D,W,0,0,0,0,0,0,0,0,-0.14285714285714285,0.2857142857142857,-0.42857142857142855,-0.42857142857142855,-4
H,0.05,0.08333333333333333,0.10843373493975904,0.11392405063291139,0.42857142857142855,1.0,D,L,L,D,D,W,L,D,W,L,0,0,0,0,0,0,0,0,-0.5714285714285714,-0.14285714285714285,-0.5714285714285714,-0.5714285714285714,-9
H,0.05,0.125,0.04819277108433735,0.02531645569620253,1.2857142857142858,2.142857142857143,W,W,D,D,D,L,W,W,W,W,0,0,0,0,1,0,0,0,0.14285714285714285,1.4285714285714286,-0.8571428571428571,-0.42857142857142855,5
NH,0.13,0.09375,0.08433734939759036,0.12658227848101267,1.7142857142857142,1.1428571428571428,W,W,W,L,L,D,W,L,D,W,0,0,0,0,0,0,0,0,0.8571428571428571,-0.14285714285714285,0.5714285714285714,0.14285714285714285,-5
NH,0.05,0.08333333333333333,0.060240963855421686,0.08860759493670886,1.2857142857142858,1.2857142857142858,W,W,L,D,D,L,L,W,W,L,0,0,0,0,0,0,0,0,0.0,0.14285714285714285,0.0,0.2857142857142857,7
NH,0.04,0.08333333333333333,0.07228915662650602,0.06329113924050633,1.1428571428571428,1.2857142857142858,W,D,W,L,D,D,W,D,L,W,0,0,0,0,0,0,0,0,-0.2857142857142857,0.42857142857142855,-0.14285714285714285,0.0,12
NH,0.08,0.07291666666666667,0.14457831325301204,0.12658227848101267,0.5,0.75,L,L,L,D,L,W,D,L,L,D,0,0,0,0,0,0,0,0,-0.5,-0.375,-0.25,-0.5,6
NH,0.09,0.052083333333333336,0.13253012048192772,0.0759493670886076,0.875,1.125,L,W,L,D,W,L,W,W,L,D,0,0,0,0,0,0,0,0,-0.25,-0.125,-0.25,0.0,0
NH,0.11,0.10416666666666667,0.1686746987951807,0.11392405063291139,1.0,1.125,D,W,L,L,W,W,L,D,W,D,0,0,0,0,0,0,0,0,-0.375,0.125,-0.125,-0.125,-5
H,0.09,0.0625,0.08433734939759036,0.11392405063291139,1.5,1.0,W,L,L,W,W,L,W,D,W,L,0,0,0,0,0,0,0,0,0.25,-0.375,0.5,0.25,-6
H,0.13,0.052083333333333336,0.07228915662650602,0.13924050632911392,1.875,0.375,L,L,W,W,W,D,L,L,L,D,1,0,0,0,0,0,0,0,0.875,-0.75,1.5,0.875,-9
NH,0.11,0.15625,0.14457831325301204,0.17721518987341772,1.125,1.5,D,D,W,L,D,L,D,W,D,D,0,0,0,0,0,0,0,0,-0.125,0.125,-0.375,0.0,0
NH,0.06,0.15625,0.1927710843373494,0.11392405063291139,0.25,1.625,L,L,L,D,D,D,W,W,W,L,0,0,0,0,0,0,0,0,-1.25,0.75,-1.375,-1.0,1
H,0.1,0.125,0.08433734939759036,0.06329113924050633,1.625,2.0,W,L,W,W,D,W,W,W,L,D,0,0,0,0,0,0,0,0,0.375,0.875,-0.375,0.0,-3
NH,0.11,0.07291666666666667,0.08433734939759036,0.11392405063291139,1.5,1.375,W,D,W,D,L,W,D,L,L,D,0,0,0,0,0,0,0,0,0.5,-0.25,0.125,0.375,3
NH,0.08,0.09375,0.0963855421686747,0.06329113924050633,1.125,1.5,L,D,L,W,D,W,W,W,D,D,0,0,0,0,0,0,0,0,0.0,0.5,-0.375,-0.75,6
H,0.12,0.08333333333333333,0.20481927710843373,0.16455696202531644,0.8888888888888888,0.4444444444444444,L,D,W,L,L,L,L,L,L,D,0,0,0,0,0,0,0,0,-0.5555555555555556,-0.5555555555555556,0.4444444444444444,0.3333333333333333,-12
NH,0.11,0.17708333333333334,0.08433734939759036,0.13924050632911392,1.6666666666666667,1.5555555555555556,W,W,L,L,W,D,D,W,W,W,0,0,0,0,1,0,0,0,0.4444444444444444,0.6666666666666666,0.1111111111111111,-0.2222222222222222,-2
NH,0.12,0.125,0.0963855421686747,0.10126582278481013,1.4444444444444444,1.7777777777777777,D,W,D,W,D,L,W,W,W,L,0,0,0,0,0,0,0,0,0.4444444444444444,0.4444444444444444,-0.3333333333333333,0.0,-2
H,0.19,0.10416666666666667,0.08433734939759036,0.1518987341772152,2.0,0.8888888888888888,W,L,L,W,W,D,L,W,L,D,0,0,0,0,0,0,0,0,1.3333333333333333,-0.2222222222222222,1.1111111111111112,0.4444444444444444,-17
NH,0.13,0.17708333333333334,0.12048192771084337,0.189873417721519,1.3333333333333333,1.6666666666666667,W,W,L,D,W,W,L,D,W,D,0,0,0,0,0,0,0,0,0.3333333333333333,0.2222222222222222,-0.3333333333333333,0.2222222222222222,-10
NH,0.11,0.08333333333333333,0.08433734939759036,0.12658227848101267,1.4444444444444444,1.3333333333333333,D,W,W,W,D,D,W,D,L,L,0,0,0,0,0,0,0,0,0.4444444444444444,-0.2222222222222222,0.1111111111111111,0.6666666666666666,4
NH,0.06,0.13541666666666666,0.08433734939759036,0.08860759493670886,1.1111111111111112,1.7777777777777777,D,L,W,W,L,W,W,L,W,W,0,0,0,0,0,0,0,0,-0.1111111111111111,0.6666666666666666,-0.6666666666666666,-0.5555555555555556,14
H,0.06,0.08333333333333333,0.13253012048192772,0.22784810126582278,0.8888888888888888,0.3333333333333333,L,L,W,D,W,D,L,L,L,D,0,0,0,0,0,0,0,0,-0.5555555555555556,-1.1111111111111112,0.5555555555555556,0.5555555555555556,3
H,0.06,0.125,0.20481927710843373,0.17721518987341772,0.3333333333333333,1.0,L,D,L,L,L,L,D,D,W,L,0,0,1,0,0,0,0,0,-1.2222222222222223,-0.2222222222222222,-0.6666666666666666,-0.4444444444444444,-8
NH,0.1,0.08333333333333333,0.12048192771084337,0.12658227848101267,1.1111111111111112,1.0,D,L,D,L,W,W,W,D,L,L,0,0,0,0,0,0,0,0,0.0,-0.2222222222222222,0.1111111111111111,-0.2222222222222222,3
H,0.16,0.125,0.08433734939759036,0.13924050632911392,1.9,1.3,W,W,W,L,W,L,D,W,D,W,0,0,0,0,0,0,0,0,0.9,0.1,0.6,0.4,-1
NH,0.08,0.10416666666666667,0.18072289156626506,0.13924050632911392,0.4,1.0,L,L,L,L,L,L,D,L,D,L,0,0,1,1,0,0,0,0,-0.7,-0.1,-0.6,-0.2,3
H,0.19,0.125,0.20481927710843373,0.12658227848101267,1.6,1.5,D,W,L,D,W,L,W,W,L,L,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7
