FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4
2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-15
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6
2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-5
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7
0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6
0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16
0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1
2,0.008547008547008548,0.008695652173913044,0.01282051282051282,0.0,0.5,1.5,0,2,2,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.5,-1.0,-1.0,-4
2,0.008547008547008548,0.0,0.0,0.0,1.5,0.5,3,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0.5,0.0,1.0,1.0,-8
2,0.017094017094017096,0.0,0.01282051282051282,0.0,1.5,0.5,3,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0.5,0.0,1.0,1.0,-3
2,0.0,0.008695652173913044,0.0,0.012987012987012988,0.5,0.5,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-16
1,0.0,0.0,0.0,0.0,0.5,0.5,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-6
0,0.0,0.008695652173913044,0.01282051282051282,0.03896103896103896,0.0,0.0,1,2,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,-0.5,-1.0,0.0,0.0,-2
2,0.02564102564102564,0.0,0.01282051282051282,0.012987012987012988,1.5,0.0,3,2,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,1.0,-0.5,1.5,1.5,11
0,0.0,0.008695652173913044,0.0,0.0,0.5,1.5,0,2,2,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.5,-1.0,-1.0,2
1,0.0,0.008695652173913044,0.01282051282051282,0.025974025974025976,0.0,0.0,1,2,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0,4
1,0.0,0.0,0.0,0.0,0.5,0.5,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-14
1,0.008547008547008548,0.0,0.02564102564102564,0.03896103896103896,0.3333333333333333,0.3333333333333333,0,1,2,2,2,1,0,2,2,2,0,0,0,0,0,0,0,0,-0.3333333333333333,-1.0,0.0,0.0,9
0,0.03418803418803419,0.017391304347826087,0.0,0.0,2.0,2.0,3,3,2,2,2,3,3,2,2,2,0,0,0,0,0,0,0,0,1.3333333333333333,0.6666666666666666,0.0,0.0,2
0,0.017094017094017096,0.043478260869565216,0.038461538461538464,0.0,1.0,1.3333333333333333,1,3,2,2,2,3,0,2,2,2,0,0,0,0,0,0,0,0,-0.3333333333333333,1.6666666666666667,-0.3333333333333333,-0.3333333333333333,8
2,0.008547008547008548,0.0,0.07692307692307693,0.0,0.3333333333333333,0.6666666666666666,1,0,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,-1.6666666666666667,0.0,-0.3333333333333333,-0.3333333333333333,6
0,0.0,0.008695652173913044,0.0,0.012987012987012988,0.6666666666666666,0.6666666666666666,0,0,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14
2,0.0,0.008695652173913044,0.038461538461538464,0.03896103896103896,0.0,0.0,1,1,2,2,2,1,1,2,2,2,0,0,0,0,0,0,0,0,-1.0,-0.6666666666666666,0.0,0.0,-8
0,0.02564102564102564,0.034782608695652174,0.05128205128205128,0.025974025974025976,1.0,1.3333333333333333,3,1,2,2,2,3,0,2,2,2,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,11
1,0.0,0.043478260869565216,0.01282051282051282,0.012987012987012988,0.3333333333333333,2.0,1,0,2,2,2,3,3,2,2,2,0,0,0,0,0,0,0,0,-0.3333333333333333,1.3333333333333333,-1.6666666666666667,-1.6666666666666667,-9
1,0.042735042735042736,0.0,0.01282051282051282,0.012987012987012988,2.0,0.3333333333333333,3,3,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,0,1.3333333333333333,-0.3333333333333333,1.6666666666666667,1.6666666666666667,-10
0,0.0,0.008695652173913044,0.038461538461538464,0.012987012987012988,0.3333333333333333,0.6666666666666666,1,0,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,-7
